x,y,z,abs_datetime,milliseconds,time_diff,x_deg,y_deg,x_deg_diff,y_deg_diff,dist_deg,velocity_deg_s,avg_velocity_deg_s,ROI,SequenceID,EnterExitFlag
0.461534,0.717342,0.0,2025-01-23 15:20:31.865,366.0,122.0,-2.30796,13.040520000000003,14.89943,-2.2600200000000044,15.069860806434148,0.0,36.79747336769324,INST_n2q3_1,1,Enter
0.554407,0.685847,0.0,2025-01-23 15:20:31.988,489.0,123.0,3.264419999999999,11.15082,6.501109999999999,-2.2046500000000044,6.864758761573491,47.83804015033792,36.79747336769324,INST_n2q3_1,1,
0.55852,0.685014,0.0,2025-01-23 15:20:32.110,611.0,122.0,3.511200000000001,11.100840000000002,0.2879100000000028,-0.0583099999999987,0.2937553815677279,2.063855139820098,36.79747336769324,INST_n2q3_1,1,
0.576741,0.682018,0.0,2025-01-23 15:20:32.233,734.0,123.0,4.604459999999997,10.92108,1.275469999999995,-0.2097199999999972,1.2925966885691709,9.007642429053462,36.79747336769324,INST_n2q3_1,1,Exit
0.583033,0.665923,0.0,2025-01-23 15:20:32.355,856.0,122.0,4.981980000000002,9.955380000000002,0.440440000000005,-1.126649999999998,1.209680790994054,8.498928273962909,36.79747336769324,BG_n2q3,0,
0.535497,0.655288,0.0,2025-01-23 15:20:32.477,978.0,122.0,2.12982,9.317279999999998,-3.3275200000000016,-0.744450000000004,3.4097793407931865,23.95629513437836,36.79747336769324,BG_n2q3,0,
0.224549,0.622236,0.0,2025-01-23 15:20:32.599,1100.0,122.0,-16.52706,7.334160000000001,-21.76636,-2.3136399999999995,21.88897799576764,153.78673064942137,36.79747336769324,BG_n2q3,0,
0.087877,0.5911150000000001,0.0,2025-01-23 15:20:32.721,1222.0,122.0,-24.72738,5.466900000000003,-9.567040000000002,-2.178469999999997,9.811930793809138,68.9362819237176,36.79747336769324,BG_n2q3,0,
0.084861,0.578742,0.0,2025-01-23 15:20:32.843,1344.0,122.0,-24.90834,4.724519999999998,-0.211120000000001,-0.8661100000000044,0.8914696778354315,6.26325300586955,36.79747336769324,BG_n2q3,0,
0.112376,0.3795429999999999,0.0,2025-01-23 15:20:32.966,1467.0,123.0,-23.25744,-7.227420000000006,1.92605,-13.943929999999998,14.076322404925229,98.09283905871244,36.79747336769324,BG_n2q3,0,
0.175625,0.466354,0.0,2025-01-23 15:20:33.088,1589.0,122.0,-19.4625,-2.0187600000000003,4.427430000000001,6.076770000000002,7.518594951039724,52.82385211503322,36.79747336769324,KW_n2q3_1,0,
0.230851,0.518253,0.0,2025-01-23 15:20:33.210,1711.0,122.0,-16.14894,1.0951799999999978,3.86582,3.632930000000002,5.304973577436556,37.27147712484697,36.79747336769324,KW_n2q3_2,2,Enter
0.299975,0.566231,0.0,2025-01-23 15:20:33.332,1833.0,122.0,-12.0015,3.9738600000000024,4.838680000000002,3.3584599999999973,5.8899981081491015,41.381719729384805,36.79747336769324,KW_n2q3_2,2,Exit
0.321779,0.581041,0.0,2025-01-23 15:20:33.454,1955.0,122.0,-10.69326,4.862460000000002,1.526279999999998,1.036699999999998,1.8450684346115704,12.963010079238213,36.79747336769324,BG_n2q3,0,
0.400118,0.571887,0.0,2025-01-23 15:20:33.577,2078.0,123.0,-5.992920000000002,4.313220000000002,5.48373,-0.6407799999999995,5.52104099978437,38.47415330860187,36.79747336769324,BG_n2q3,0,
0.482063,0.5750770000000001,0.0,2025-01-23 15:20:33.699,2200.0,122.0,-1.0762199999999988,4.504620000000004,5.736150000000004,0.2233000000000018,5.740494727155495,40.331344687275134,36.79747336769324,BG_n2q3,0,
