ADQ_ID,EventType,StartIndex,EndIndex,Duration_ms,SaccadeAmplitude,SaccadeMaxVel,SaccadeMeanVel,ROI,Group
n21q1,fixation,4,6,244.0,,,,KW_n2q1_1,Control
n21q1,fixation,11,12,122.0,,,,KW_n2q1_2,Control
n21q1,fixation,15,16,123.0,,,,KW_n2q1_1,Control
n21q1,fixation,25,27,244.0,,,,KW_n2q1_1,Control
n21q1,fixation,32,33,123.0,,,,KW_n2q1_2,Control
n21q1,fixation,36,37,122.0,,,,KW_n2q1_2,Control
n21q1,fixation,39,42,367.0,,,,KW_n2q1_3,Control
n21q1,fixation,44,46,245.0,,,,KW_n2q1_3,Control
n21q1,fixation,49,51,245.0,,,,KW_n2q1_4,Control
n21q1,fixation,53,57,611.0,,,,KW_n2q1_3,Control
n21q1,fixation,59,63,489.0,,,,KW_n2q1_4,Control
n21q1,fixation,65,67,244.0,,,,KW_n2q1_4,Control
n21q1,fixation,70,73,611.0,,,,BG_n2q1,Control
n21q1,fixation,76,80,489.0,,,,KW_n2q1_4,Control
n21q1,saccade,0,0,0.0,0.0,0.0,0.0,,Control
n21q1,saccade,1,1,0.0,0.0,40.34900529378016,40.34900529378016,,Control
n21q1,saccade,2,2,0.0,0.0,4.260252253206532,4.260252253206532,,Control
n21q1,saccade,3,3,0.0,0.0,124.5649857600383,124.5649857600383,,Control
n21q1,saccade,7,7,0.0,0.0,73.1624858290052,73.1624858290052,,Control
n21q1,saccade,8,8,0.0,0.0,8.98953363468286,8.98953363468286,,Control
n21q1,saccade,9,10,122.0,9.069182932657174,143.86315330466886,109.10035916322448,,Control
n21q1,saccade,13,14,122.0,6.112464075575419,50.10216455389688,47.04587647201925,,Control
n21q1,saccade,17,18,122.0,5.99663410769742,104.04749533849137,76.60011696308757,,Control
n21q1,saccade,19,19,0.0,0.0,10.872449160104106,10.872449160104106,,Control
n21q1,saccade,20,22,244.0,6.318404816660613,52.908369377901195,50.78795334106419,,Control
n21q1,saccade,23,23,0.0,0.0,27.369891924938212,27.369891924938212,,Control
n21q1,saccade,24,24,0.0,0.0,119.63112701565035,119.63112701565035,,Control
n21q1,saccade,28,29,123.0,13.374901688177,108.73903811526016,106.0942637362978,,Control
n21q1,saccade,30,30,0.0,0.0,5.10690499566768,5.10690499566768,,Control
n21q1,saccade,31,31,0.0,0.0,95.63408104753788,95.63408104753788,,Control
n21q1,saccade,34,35,121.0,7.619457894889898,62.97072640404874,54.9294451816354,,Control
n21q1,saccade,38,38,0.0,0.0,98.1283806056631,98.1283806056631,,Control
