ADQ_ID,ROI,FixationDuration,EnterCount,RegressionCount,Group
n21q1,KW_n2q1_3,2.201,2,1,Control
n21q1,KW_n2q1_2,2.1979999999999995,6,5,Control
n21q1,KW_n2q1_1,1.9570000000000003,4,3,Control
n21q1,INST_n2q1_1,0.245,1,0,Control
n21q1,KW_n2q1_4,2.691,3,2,Control
n21q1,BG_n2q1,1.101,3,2,Control
n21q2,INST_n2q2_1,1.3449999999999998,2,1,Control
n21q2,KW_n2q2_1,1.9579999999999997,2,1,Control
n21q2,BG_n2q2,2.078,9,8,Control
n21q2,KW_n2q2_3,2.198,2,1,Control
n21q2,KW_n2q2_2,1.467,1,0,Control
n21q2,KW_n2q2_4,4.035,5,4,Control
n21q3,KW_n2q3_3,2.4449999999999994,2,1,Control
n21q3,BG_n2q3,2.3209999999999993,5,4,Control
n21q3,INST_n2q3_2,2.324,3,2,Control
n21q3,KW_n2q3_1,1.3439999999999999,3,2,Control
n21q3,KW_n2q3_2,0.732,3,2,Control
n21q3,INST_n2q3_1,0.49,2,1,Control
n21q4,INST_n2q4_2a,1.834,6,5,Control
n21q4,INST_n2q4_1,1.467,3,2,Control
n21q4,BG_n2q4,4.646999999999999,16,15,Control
n21q4,KW_n2q4_1,14.419999999999986,9,8,Control
n21q4,INST_n2q4_2b,0.733,3,2,Control
n21q5,INST_n2q5_1c,1.7089999999999996,5,4,Control
n21q5,INST_n2q5_1a,0.489,1,0,Control
n21q5,INST_n2q5_1b,2.687999999999999,6,5,Control
n21q5,BG_n2q5,3.9139999999999997,11,10,Control
